StartTime          RTT
651.85400000   0.01800000
651.89200000   0.01800000
651.93100000  -1.00000000
652.95100000   0.01800000
652.98900000   0.04400000
653.05300000   0.01600000
653.09000000   0.01600000
653.12700000   0.01500000
653.16200000   0.01500000
653.19800000   0.08900000
653.30800000   0.01600000
653.34400000   0.01600000
653.38100000   0.01500000
653.41600000   0.01400000
653.45100000   0.01800000
653.49000000   0.01500000
653.52600000   0.01500000
653.56100000  -1.00000000
654.58100000   0.01400000
654.61600000   0.01700000
654.65400000   0.01500000
654.68900000   0.01500000
654.72500000   0.01500000
654.76000000   0.01800000
654.79900000   0.01800000
654.83800000   0.01800000
654.87700000   0.01700000
654.91400000   0.01400000
654.94900000   0.01600000
654.98500000   0.01800000
655.02300000   0.01800000
655.06200000   0.01600000
655.09900000   0.21100000
655.33000000   0.01500000
655.36600000   0.01600000
655.40200000   0.01400000
655.43600000   0.01400000
655.47100000   0.01400000
655.50500000   0.01800000
655.54400000   0.01500000
655.57900000   0.01500000
655.61500000  -1.00000000
656.63500000   0.01600000
656.67200000   0.01400000
656.70700000   0.01600000
656.74300000   0.01500000
656.77900000   0.01400000
656.81300000   0.01600000
656.84900000   0.01800000
656.88700000   0.01600000
656.92400000   0.01400000
656.95800000   0.01700000
656.99600000   0.01500000
657.03100000   0.01600000
657.06800000   0.01700000
657.10500000   0.01800000
657.14400000   0.01600000
657.18000000   0.01400000
657.21400000   0.01800000
657.25300000   0.01800000
657.29200000   0.01400000
657.32600000   0.01500000
657.36200000   0.01500000
657.39700000   0.01700000
657.43400000   0.01700000
657.47200000   0.01400000
657.50600000   0.01500000
657.54200000   0.01400000
657.57600000   0.01400000
657.61100000   0.01400000
657.64600000   0.01400000
657.68100000   0.01600000
657.71700000   0.01400000
657.75200000   0.02400000
657.79600000   0.01500000
657.83100000   0.01600000
657.86800000   0.01400000
657.90300000  -1.00000000
658.92300000   0.01500000
658.95800000   0.01800000
658.99700000   0.01800000
659.03600000   0.01500000
659.07200000   0.01600000
659.10900000   0.01800000
659.14700000   0.01600000
659.18300000   0.01400000
659.21800000   0.01600000
659.25400000   0.01700000
659.29200000   0.01800000
659.33000000   0.01700000
659.36700000   0.01600000
659.40400000   0.01600000
659.44000000   0.01800000
659.47900000   0.01400000
659.51400000   0.01700000
659.55100000   0.01600000
659.58800000   0.01600000
659.62400000   0.01700000
659.66200000   0.01700000
659.70000000   0.19100000
659.91100000   0.01800000
659.94900000   0.01400000
659.98300000   0.01400000
660.01800000   0.01700000
660.05600000   0.01600000
660.09300000   0.01400000
660.12800000   0.01700000
660.16500000   0.01400000
660.20000000   0.01400000
660.23400000   0.01500000
660.27000000   0.01800000
660.30900000   0.01800000
660.34800000   0.01400000
660.38300000   0.31400000
660.71700000   0.01500000
660.75200000   0.01800000
660.79100000   0.01800000
660.82900000   0.01500000
660.86400000   0.01500000
660.90000000   0.01800000
660.93900000   0.01800000
660.97700000   0.01600000
661.01400000   0.01400000
661.04800000   0.01800000
661.08700000   0.01400000
661.12100000   0.01800000
661.16000000   0.01800000
661.19900000   0.01700000
661.23600000   0.01800000
661.27500000   0.04000000
661.33500000   0.01500000
661.37100000   0.01600000
661.40700000   0.01700000
661.44500000   0.07200000
661.53800000   0.01600000
661.57400000   0.01400000
661.60900000   0.01600000
661.64600000   0.01400000
661.68000000   0.01800000
661.71900000   0.01400000
661.75300000   0.01600000
661.79000000   0.01800000
661.82900000   0.01700000
661.86600000   0.01800000
661.90500000   0.01700000
661.94200000   0.01800000
661.98000000   0.01500000
662.01600000   0.01500000
662.05100000   0.01600000
662.08800000   0.01600000
662.12400000   0.01500000
662.15900000   0.01400000
