StartTime,RTT
676.463,0.014
676.498,0.014
676.532,0.018
676.571,0.026
676.617,0.016
676.653,0.014
676.688,0.014
676.723,0.018
676.762,0.015
676.797,0.016
676.834,0.017
676.871,0.017
676.908,0.017
676.946,0.016
676.982,0.018
677.021,0.014
677.055,0.018
677.093,0.018
677.132,0.014
677.166,0.927
678.114,0.015
678.149,0.015
678.185,0.017
678.222,0.016
678.258,0.018
678.296,0.018
678.334,0.018
678.373,0.016
678.41,0.018
678.449,0.014
678.484,0.016
678.52,0.015
678.555,0.018
678.594,0.019
678.634,0.014
678.669,0.213
678.902,-1
679.922,0.018
679.96,0.017
679.998,0.014
680.032,0.016
680.068,0.017
680.106,0.016
680.142,0.016
680.178,0.018
680.217,0.018
680.256,0.018
680.295,0.017
680.332,0.017
680.369,-1
681.39,0.014
681.424,0.014
681.459,0.014
681.493,0.018
681.531,0.016
681.567,0.018
681.606,0.017
681.643,0.018
681.682,0.016
681.718,0.017
681.755,0.018
681.793,0.014
681.828,0.015
681.863,0.014
681.897,0.017
681.935,0.015
681.97,-1
682.99,0.014
683.024,0.016
683.06,0.017
683.098,0.014
683.132,0.016
683.169,0.017
683.206,0.018
683.245,0.016
683.281,0.015
683.316,0.014
683.351,0.014
683.386,0.017
683.423,0.015
683.459,0.018
683.497,0.016
683.534,0.022
683.576,0.015
683.611,0.016
683.648,0.014
683.683,0.239
683.942,0.032
683.994,0.018
684.033,0.015
684.069,0.015
684.104,0.018
684.142,0.018
684.181,0.017
684.219,0.014
684.254,0.017
684.291,0.015
684.327,0.017
684.365,0.018
684.403,0.016
684.44,0.017
684.477,0.018
684.515,0.016
684.552,0.014
684.586,0.018
684.625,0.016
684.662,0.015
684.697,0.018
684.735,0.014
684.77,0.018
684.809,0.014
684.844,0.016
684.88,0.014
684.915,0.016
684.952,0.014
684.987,0.017
685.024,0.018
685.063,-1
686.083,-1
687.103,0.017
687.141,0.033
687.194,0.017
687.232,0.014
687.266,0.015
687.302,0.018
687.34,0.017
687.377,0.016
687.414,0.016
687.45,0.015
687.486,0.018
687.524,0.016
687.561,0.016
687.598,0.014
687.632,0.017
687.67,0.014
687.704,0.017
687.741,-1
688.761,0.033
688.815,0.017
688.853,0.015
688.888,0.014
688.923,0.017
688.961,0.014
688.995,0.016
689.032,0.015
689.067,0.016
689.104,0.014
689.139,0.016
689.176,0.017
689.214,0.017
689.251,0.015
689.287,0.018
689.325,0.016
689.362,0.018
689.401,0.017
689.439,0.017
689.476,0.017
689.514,0.016
689.55,0.014
689.585,0.017
689.623,0.017
689.66,0.014
689.694,0.017
689.732,0.014
689.766,0.014
689.801,0.017
689.838,0.014
689.873,0.015
689.908,0.018
689.946,0.014
689.981,0.015
690.017,0.014
690.051,0.014
690.086,0.017
690.124,0.017
690.162,0.015
690.197,0.017
690.234,0.015
690.27,0.014
690.305,0.017
690.342,0.017
690.38,0.014
690.415,0.017
690.453,0.015
690.489,0.014
690.523,0.015
690.559,0.015
690.594,0.017
690.632,0.025
690.677,0.016
690.714,0.014
690.748,0.018
690.786,0.016
690.823,0.018
690.862,0.018
690.901,0.018
690.939,0.041
691,0.016
691.037,0.015
691.073,0.018
691.111,0.018
691.15,0.018
691.189,0.016
691.225,0.016
691.262,0.018
691.301,0.016
691.338,0.015
691.374,0.014
691.408,0.239
691.668,0.016
691.705,0.016
691.741,0.015
691.776,0.018
691.815,0.016
691.851,0.016
691.888,0.017
691.926,0.016
691.962,0.014
691.997,0.016
692.034,0.015
692.069,0.018
692.108,0.162
692.291,0.018
692.33,0.015
692.365,0.014
692.4,0.017
692.437,0.018
692.476,0.018
692.514,0.018
692.553,0.014
692.588,0.016
692.624,0.014
692.659,0.016
692.696,0.014
692.73,0.017
692.768,0.014
692.802,0.016
692.839,-1
693.859,0.017
693.897,0.014
693.931,0.014
693.966,0.018
694.005,0.015
694.041,0.018
694.079,0.018
694.118,0.017
694.156,0.014
694.19,0.015
694.226,0.018
694.265,0.016
694.302,0.016
694.338,0.015
694.374,0.016
694.41,0.015
694.445,0.014
694.48,0.014
694.514,0.018
694.552,0.017
694.59,0.014
694.625,0.016
694.661,0.014
694.695,0.015
694.731,0.014
694.765,0.018
694.804,0.015
694.84,0.018
694.879,0.014
694.913,0.018
694.952,0.02
694.992,0.016
695.029,0.016
695.065,0.017
695.103,0.015
695.139,0.018
695.178,0.017
695.216,0.018
695.254,0.014
695.289,0.014
695.323,0.016
695.359,0.016
695.395,0.032
695.448,0.016
695.485,-1
696.505,0.02
696.545,0.018
696.583,0.016
696.62,0.072
696.713,0.018
696.752,0.017
696.79,0.016
696.826,0.016
696.862,0.015
696.898,0.017
696.935,0.016
696.971,0.017
697.009,0.015
697.044,0.017
697.082,0.016
697.118,0.017
697.156,0.016
697.192,0.014
697.227,0.014
697.261,0.014
697.296,0.016
697.332,0.017
697.37,0.017
697.407,0.014
697.441,0.014
697.476,0.015
697.512,0.016
697.548,0.017
697.586,0.014
697.62,0.018
697.659,0.017
697.697,0.018
697.735,0.014
697.769,0.014
697.804,0.017
697.842,0.017
697.88,0.015
697.915,0.015
697.951,0.016
697.988,0.017
698.025,0.018
698.064,0.018
698.103,0.015
698.138,0.016
698.174,0.014
698.209,0.016
698.245,0.017
698.283,0.015
698.319,0.015
698.354,0.018
698.392,0.019
698.432,0.014
698.466,0.015
698.502,0.018
698.54,0.016
698.577,0.017
698.614,0.017
698.652,0.018
698.691,0.018
698.729,0.017
698.766,0.017
698.804,0.017
698.842,0.794
699.656,0.015
699.692,0.017
699.729,0.018
699.768,0.015
699.804,0.016
699.841,0.014
699.875,0.015
699.912,0.476
700.408,0.016
700.444,0.018
700.483,0.017
700.521,0.018
700.56,0.016
700.596,0.271
700.888,0.018
700.926,0.018
700.964,0.016
701.001,0.016
701.037,0.016
701.074,0.018
701.113,0.018
701.151,0.016
701.187,0.016
701.223,0.017
701.261,0.018
701.3,0.015
701.335,0.018
701.373,0.015
701.409,0.016
701.445,0.016
701.481,-1
702.501,-1
703.521,0.016
703.558,0.015
703.593,0.019
703.632,0.017
703.67,0.017
703.707,0.015
703.742,0.017
703.78,0.091
703.891,0.018
703.93,0.018
703.969,0.015
704.004,0.014
704.038,0.017
704.076,0.016
704.113,0.016
704.149,0.015
704.185,0.015
704.22,0.017
704.258,0.693
704.972,0.016
705.008,0.018
705.046,0.018
705.085,0.018
705.123,0.018
705.162,0.015
705.197,0.014
705.232,0.018
705.271,0.016
705.307,0.017
705.344,0.016
705.381,0.017
705.418,0.017
705.456,0.016
705.493,0.017
705.53,-1
706.55,0.018
706.589,0.017
706.626,0.016
706.663,0.018
706.702,0.018
706.74,0.014
706.774,0.017
706.812,0.018
706.851,0.017
706.888,0.014
706.923,0.017
706.961,0.016
706.997,0.018
707.036,0.014
707.071,0.016
707.107,0.017
707.144,0.015
707.18,0.018
707.219,0.014
707.253,0.018
707.292,0.016
707.328,0.018
707.367,0.014
707.401,0.017
707.439,0.018
707.478,0.018
707.517,0.018
707.555,0.025
707.601,0.014
707.636,0.014
707.671,0.017
707.709,0.015
707.745,0.018
707.783,0.015
707.818,0.018
