StartTime,RTT
976.37132939,0.01473877
976.39142031,0.03665569
976.41145825,0.01513415
976.43148949,0.01471352
976.45155038,0.02337177
976.47155058,0.01763912
976.49163402,0.01369133
976.51164722,0.01495371
976.53174482,0.01808468
976.55181990,0.01772035
976.57182853,0.01695972
976.59187804,0.01435707
976.61190092,0.01414360
976.63199720,0.01640962
976.65206543,0.01300604
976.67207815,0.01700352
976.69215070,0.01302832
976.71215373,0.01545620
976.73216209,0.01649952
976.75220486,0.01422535
976.77228175,0.01536879
976.79231875,0.01683653
976.81235417,0.01365626
976.83242295,0.01328093
976.85251823,0.01766267
976.87252246,0.01601732
976.89258077,0.01764980
976.91264915,0.01509410
976.93267076,0.01580754
976.95269057,0.01481753
976.97270976,0.01598883
976.99275035,0.01635315
977.01277428,0.01465817
977.03279155,0.01794304
977.05279812,0.01597627
977.07287418,0.01557236
977.09288792,0.01548497
977.11291179,0.01642629
977.13295086,0.01396329
977.15303501,0.01518663
977.17312779,0.01595199
977.19321866,0.01406636
977.21328277,0.01662537
977.23331094,0.04930446
977.25340052,0.01480532
977.27347473,0.01701642
977.29348549,0.01700309
977.31354215,0.01696496
977.33359166,0.01429833
977.35368132,0.01570611
977.37370896,0.01534549
977.39371036,0.01506664
977.41373411,0.07350879
977.43375550,0.01636170
977.45378939,0.01649568
977.47383328,0.01563069
977.49384600,0.01376705
977.51393459,0.01614662
977.53398258,0.01510404
977.55405782,0.01635531
977.57411760,0.01785338
977.59413658,0.01763451
977.61416144,0.01746308
977.63423569,0.01303666
977.65429057,0.01577525
977.67429185,0.01630431
977.69432240,0.01394311
977.71436758,0.01501807
977.73443707,0.01614991
977.75446753,0.01468947
977.77454795,0.01553612
977.79456432,0.07381017
977.81465943,0.01437409
977.83469936,0.01613859
977.85472804,0.01394702
977.87476016,0.01322067
977.89485243,0.01383027
977.91494824,0.01405576
977.93502146,0.01783734
977.95508847,0.01601069
977.97511422,0.01757491
977.99515109,0.01316943
978.01518694,0.01524800
978.03520737,0.01746865
978.05528652,0.01755275
978.07536121,0.01359848
978.09544651,0.01790390
978.11548067,0.01603952
978.13551794,0.01467179
978.15558871,0.01574504
978.17563889,0.01632982
978.19573888,0.01512049
978.21579191,0.01403682
978.23588833,0.01780511
978.25592754,0.01649637
978.27594278,0.01381709
978.29601194,0.01548310
978.31607305,0.01305840
978.33615750,0.01772067
978.35620650,0.01305026
978.37628903,0.01616339
978.39630053,0.01634477
978.41634139,0.01337142
978.43636383,0.01319299
978.45643353,0.01409822
978.47646974,0.04312054
978.49647923,0.01331418
978.51648574,0.01761309
978.53649290,0.01473218
978.55655096,0.01329007
978.57655542,0.01542621
978.59657179,0.01309638
978.61665394,0.01544817
978.63672493,0.01569051
978.65675049,0.01646956
978.67680153,0.01537916
978.69688321,0.01578091
978.71690436,0.01633173
978.73696953,0.01713931
978.75704599,0.05978116
978.77711197,0.01601266
978.79720563,0.01374600
